2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:java.io.tmpdir=C:\Users\15809\AppData\Local\Temp\
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:java.compiler=<NA>
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:os.name=Windows 10
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:os.arch=amd64
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:os.version=10.0
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:user.name=15809
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:user.home=C:\Users\15809
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:user.dir=D:\code\mushixin\Distributed-Kit
2022-02-07 21:20:31.414 [Thread-16] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@442d2736
2022-02-07 21:20:31.414 [Thread-34] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@3e9e400
2022-02-07 21:20:31.414 [Thread-31] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@265aa331
2022-02-07 21:20:31.414 [Thread-99] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@42691bb0
2022-02-07 21:20:31.414 [Thread-97] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@3d92be2c
2022-02-07 21:20:31.414 [Thread-73] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@1b9a122d
2022-02-07 21:20:31.414 [Thread-42] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@63cd8695
2022-02-07 21:20:31.414 [Thread-37] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@2cb59d9b
2022-02-07 21:20:31.414 [Thread-9] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@492dccc0
2022-02-07 21:20:31.414 [Thread-35] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@2c3fb917
2022-02-07 21:20:31.414 [Thread-1] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@6abc3bf
2022-02-07 21:20:31.414 [Thread-6] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@75111a3e
2022-02-07 21:20:31.414 [Thread-40] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@4f082c6
2022-02-07 21:20:31.414 [Thread-22] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@521daf49
2022-02-07 21:20:31.414 [Thread-67] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@667a099d
2022-02-07 21:20:31.414 [Thread-70] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@d6b8944
2022-02-07 21:20:31.414 [Thread-80] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@629b2e41
2022-02-07 21:20:31.414 [Thread-66] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@315c74ea
2022-02-07 21:20:31.414 [Thread-63] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@42b84426
2022-02-07 21:20:31.414 [Thread-17] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@57afe748
2022-02-07 21:20:31.414 [Thread-53] INFO  [org.apache.zookeeper.ZooKeeper] - Initiating client connection, connectString=localhost:2181 sessionTimeout=50000 watcher=com.distributed.lock.zk.ZooKeeperSession$ZooKeeperWatcher@79d259fb
